Date,Category,Amount,Description
2020-05-01,Transportation,82.97,Transportation Expense
2020-05-02,Healthcare,359.66,Healthcare Expense
2020-05-03,Dining,142.15,Dining Expense
2020-05-03,Healthcare,124.17,Healthcare Expense
2020-05-03,Travel,1655.08,Travel Expense
2020-05-05,Coffee,7.16,Coffee Expense
2020-05-06,Pets,63.3,Pets Expense
2020-05-06,Gifts,62.64,Gifts Expense
2020-05-08,Housing,2182.64,Housing Expense
2020-05-08,Travel,3001.01,Travel Expense
2020-05-08,Utilities,50.53,Utilities Expense
2020-05-09,Food,63.64,Food Expense
2020-05-11,Gifts,168.29,Gifts Expense
2020-05-11,Housing,1372.89,Housing Expense
2020-05-11,Fitness,73.34,Fitness Expense
2020-05-11,Electronics,213.37,Electronics Expense
2020-05-12,Shopping,446.18,Shopping Expense
2020-05-13,Entertainment,186.43,Entertainment Expense
2020-05-13,Utilities,269.92,Utilities Expense
2020-05-14,Dining,140.7,Dining Expense
2020-05-14,Books,19.81,Books Expense
2020-05-14,Food,65.9,Food Expense
2020-05-16,Shopping,215.58,Shopping Expense
2020-05-17,Clothing,175.21,Clothing Expense
2020-05-18,Entertainment,70.95,Entertainment Expense
2020-05-18,Gifts,95.47,Gifts Expense
2020-05-19,Utilities,199.92,Utilities Expense
2020-05-19,Sports,144.52,Sports Expense
2020-05-21,Coffee,8.51,Coffee Expense
2020-05-22,Healthcare,337.34,Healthcare Expense
2020-05-22,Food,149.24,Food Expense
2020-05-22,Education,428.67,Education Expense
2020-05-22,Fitness,49.73,Fitness Expense
2020-05-22,Travel,4100.89,Travel Expense
2020-05-24,Sports,25.26,Sports Expense
2020-05-24,Clothing,179.07,Clothing Expense
2020-05-25,Pets,48.11,Pets Expense
2020-05-25,Utilities,137.58,Utilities Expense
2020-05-25,Electronics,519.13,Electronics Expense
2020-05-27,Food,16.59,Food Expense
2020-05-27,Healthcare,66.53,Healthcare Expense
2020-05-27,Housing,1394.11,Housing Expense
2020-05-28,Healthcare,349.97,Healthcare Expense
2020-05-28,Food,45.89,Food Expense
2020-05-28,Healthcare,367.47,Healthcare Expense
2020-05-28,Pets,71.94,Pets Expense
2020-05-28,Books,23.27,Books Expense
2020-05-29,Electronics,508.11,Electronics Expense
2020-05-29,Clothing,187.91,Clothing Expense
2020-05-29,Pets,45.67,Pets Expense
2020-05-30,Electronics,344.27,Electronics Expense
2020-05-30,Entertainment,247.75,Entertainment Expense
2020-06-01,Food,40.46,Food Expense
2020-06-01,Food,94.26,Food Expense
2020-06-02,Pets,63.7,Pets Expense
2020-06-03,Dining,128.84,Dining Expense
2020-06-04,Sports,113.14,Sports Expense
2020-06-04,Coffee,13.39,Coffee Expense
2020-06-05,Housing,2181.49,Housing Expense
2020-06-05,Books,27.82,Books Expense
2020-06-05,Education,720.65,Education Expense
2020-06-06,Education,143.15,Education Expense
2020-06-07,Travel,4343.52,Travel Expense
2020-06-07,Grocery,99.7,Grocery Expense
2020-06-08,Electronics,1778.66,Electronics Expense
2020-06-08,Pets,42.87,Pets Expense
2020-06-08,Gifts,171.17,Gifts Expense
2020-06-09,Dining,21.8,Dining Expense
2020-06-09,Fitness,100.81,Fitness Expense
2020-06-10,Shopping,234.25,Shopping Expense
2020-06-10,Housing,2291.4,Housing Expense
2020-06-10,Transportation,49.61,Transportation Expense
2020-06-11,Pets,61.74,Pets Expense
2020-06-12,Travel,3641.26,Travel Expense
2020-06-12,Shopping,166.87,Shopping Expense
2020-06-13,Shopping,75.39,Shopping Expense
2020-06-13,Housing,2522.21,Housing Expense
2020-06-13,Utilities,275.49,Utilities Expense
2020-06-14,Grocery,35.59,Grocery Expense
2020-06-15,Entertainment,280.03,Entertainment Expense
